state_fips,variable,CBG_count,safegraph_ratio_mean,safegraph_ratio_min,safegraph_ratio_max,census_ratio,safegraph_ratio_mean_to_census,safegraph_ratio_min_to_census,safegraph_ratio_max_to_census
46,Black,404,0.012703458823985367,0.009412563415022938,0.017764564839525144,0.012052152252073392,1.0540406857040765,0.7809861025779564,1.4739744792444867
46,Asian,404,0.010860547344867542,0.009185949227823521,0.0126679753371162,0.010263349348537674,1.0581874372633489,0.8950245106030945,1.2342925205913542
46,Less High School,404,0.0637719345454864,0.05780092510132829,0.06826013814359222,0.07195456006577329,0.8862806538903553,0.8032975957116931,0.9486561808062752
46,Bachelor Degree,404,0.1083509499132196,0.09332390635023191,0.1253596642909452,0.11019346437114484,0.9832792764213363,0.8469096319170597,1.1376324812578609
46,Graduate Degree,404,0.12377871301224201,0.11766990752943193,0.1313765155519048,0.11651490890400801,1.0623422717020563,1.0099128827056414,1.1275511158845832
46,Less than 20K,404,0.13457673666254696,0.1163134178539714,0.15733596212928566,0.14875677291072129,0.9046763655145659,0.7819033417979477,1.0576725956788087
46,20K–30K,404,0.09197254761811974,0.08078556431351662,0.10673213392781426,0.09555938696653199,0.9624648141613918,0.8453964270596499,1.116919408086987
46,30K–50K,404,0.1856173838249953,0.17720023475277416,0.19383521509461066,0.1887323578082245,0.9834952839067775,0.938896948094251,1.0270375326501844
46,50K–100K,404,0.29996797030979033,0.28261732816435403,0.3200933479636275,0.3005705914859297,0.997995076054646,0.9402693948439195,1.06495231746121
47,Female,2656,0.512489060512977,0.5093232039560359,0.514992232808104,0.5128529255510917,0.9992905080189926,0.9931174778982436,1.004171385499485
47,Under 18,2656,0.03392679932362333,0.03295895547073771,0.0348467931038835,0.034065721974486846,0.9959219226010368,0.9675108455186114,1.0229283597741339
47,18–24,2656,0.05589382424510435,0.05422502308099934,0.05769577564840547,0.05687465040891853,0.9827545988105031,0.9534128595275955,1.0144374555902005
47,25–34,2656,0.06624298214152419,0.0637810738510311,0.06841993062378199,0.06750361020322561,0.9813250275369542,0.944854262742578,1.0135743913221489
47,35–44,2656,0.06763398074771146,0.06443473595145204,0.07038662031362718,0.0685103913476018,0.9872076252572594,0.9405104055606532,1.0273860494608174
47,45–54,2656,0.06943566593560532,0.06546172011563946,0.0734090280558542,0.07015313840291139,0.9897727673538225,0.9331260383487385,1.0464111759939123
47,55–64,2656,0.07049929418960792,0.06641051518791925,0.07440503056038839,0.07103306783513182,0.9924855611366414,0.934923933484873,1.0474703237241971
47,Over 65,2656,0.18924336873158898,0.16761109028164772,0.20992190699297128,0.1890218086289813,1.001172140422392,0.8867288462499092,1.1105697724277597
47,White,2656,0.8230025183659087,0.7007027341054273,0.9065032690431157,0.8039622736434795,1.0236830077064942,0.8715617101408379,1.1275445363063248
47,Black,2656,0.03797604347382856,0.025812672178113758,0.05293947465777561,0.03893656880807076,0.9753310226441139,0.6629416245009065,1.359633791018646
47,Asian,2656,0.012098717477722416,0.009883595745690331,0.015131624900279306,0.011626123561889185,1.0406493112960205,0.8501196201018439,1.3015193602346762
47,Less High School,2656,0.08169636090217823,0.07462548828558817,0.08752929527497101,0.08487551464676751,0.9625433346964647,0.8792345895770104,1.0312667397570185
47,Bachelor Degree,2656,0.08569969273049181,0.08206563883079425,0.08964700515244634,0.08470730587209611,1.0117154813056404,0.9688141770759342,1.058314914274442
47,Graduate Degree,2656,0.12124214599535152,0.11104493438874231,0.1343558278422454,0.11693932810221554,1.0367953019994687,0.9495944280753777,1.148936204976364
47,Less than 20K,2656,0.15612413783408818,0.13636513284867846,0.17907619335465383,0.16644434645405604,0.9379960398786116,0.8192836569929373,1.0758923157782627
47,20K–30K,2656,0.09870058699728211,0.08565170603777983,0.11026840684655653,0.10337063728222542,0.9548222744124812,0.8285883524538127,1.066728519294107
47,30K–50K,2656,0.18548386719099796,0.17421515929958448,0.19492959572230617,0.1903734024049417,0.974316080123718,0.9151234211227305,1.023932930019673
47,50K–100K,2656,0.2760142515920591,0.2655256582261331,0.28710272001691917,0.2758823049809024,1.00047827138158,0.9624599092881793,1.0406710210602073
48,Female,8116,0.5075046167269103,0.5042817247726717,0.5129125729380419,0.506705614882102,1.00157685611002,0.99521637408736,1.0122496334629807
48,Under 18,8116,0.03512046491144088,0.033144689470085864,0.03754585158688086,0.03564456053430086,0.9852966170713301,0.9298666885846618,1.0533402859813739
48,18–24,8116,0.05567440603770125,0.051173967063627035,0.061398909789815125,0.056530204356038366,0.984861220155032,0.905249992399166,1.086125735599905
48,25–34,8116,0.062242655114928304,0.060113603588609045,0.06544671216711678,0.06284273343495332,0.9904511104589978,0.956572069717987,1.0414364332967592
48,35–44,8116,0.06141148141077363,0.05990511467526101,0.06389496545423076,0.061933710023109524,0.9915679423670722,0.9672456995214468,1.0316670102661285
